site,cluster,actors,active,demand30,leaderUsers30,leaderShare,leaderFail,leaderRating,leader,expectedUsers,access
"aldi","ecommerce",20,0,55.6667,9,0.1617,0,0,"dromb/aldi-au-product-search-catalog-unofficial",46.6667,"blocked 403"
"naukrigulf","jobs",21,4,350,128,0.3657,0.0015,5.0000,"blackfalcondata/naukrigulf-scraper",44.4000,"error (TimeoutError)"
"bayt","jobs",40,7,464,114,0.2457,0,5,"blackfalcondata/bayt-scraper",43.7500,"blocked 403"
"rightmove","real estate",85,3,215,45,0.2093,0.0202,5.0000,"memo23/rightmove-scraper",42.5000,"ok"
"greenhouse","jobs",89,12,621,124,0.1997,0,3,"fantastic-jobs/greenhouse-jobs-api",38.2308,"ok"
"lever","jobs",86,9,450,102,0.2267,0,0,"bovi/greenhouse-lever-ashby-job-scraper",34.8000,"error (ECONNRESET)"
"dice","jobs",76,6,408,174,0.4265,0.0011,4.5399,"shahidirfan/Dice-Job-Scraper",33.4286,"ok"
"propertyfinder","real estate",60,4,191,30,0.1571,0,5,"azzouzana/propertyfinder-ads-search-results-pages-scraper",32.2000,"challenge (captcha)"
"allegro","ecommerce",27,2,179,84,0.4693,0.0002,5.0000,"memo23/allegro-scraper",31.6667,"blocked 403"
"ashby","jobs",83,9,414,102,0.2464,0,0,"bovi/greenhouse-lever-ashby-job-scraper",31.2000,"blocked 404"
"flipkart","ecommerce",63,5,218,33,0.1514,0.0352,0,"piotrv1001/flipkart-listings-scraper",30.8333,"blocked 529"
"mercari","ecommerce",49,3,150,27,0.1800,0.0004,5,"fatihtahta/mercari-japan-scraper",30.7500,"ok"
"jobstreet","jobs",46,3,220,100,0.4545,0.0030,5,"blackfalcondata/jobstreet-scraper",30.0000,"blocked 403"
"realestate.com.au","real estate",18,4,205,56,0.2732,0,5.0000,"one-api/realestate-com-au-scraper",29.8000,"blocked 429"
"immobiliare","real estate",33,5,281,104,0.3701,0.0044,5,"memo23/immobiliare-scraper",29.5000,"blocked 403"
"otodom","real estate",47,1,98,39,0.3980,0.3163,0,"trev0n/otodom-scraper",29.5000,"challenge (captcha)"
"target","ecommerce",46,4,174,28,0.1609,0.0008,5,"automation-lab/target-scraper",29.2000,"challenge (captcha)"
"workable","jobs",70,2,99,12,0.1212,0,0,"jobo.world/workable-jobs-scraper-api",29,"challenge (challenge-platform)"
"coupang","ecommerce",22,7,299,69,0.2308,0.0023,0,"zen-studio/coupang-search-scraper",28.7500,"blocked 403"
"workday","jobs",87,11,474.6667,130,0.2739,0,5,"fantastic-jobs/workday-jobs-api",28.7222,"ok"
"immobilienscout24","real estate",30,5,348,176,0.5057,0.0270,5,"memo23/immobilienscout24-scraper",28.6667,"blocked 401"
"welcome to the jungle","jobs",43,6,356,157,0.4410,0.0001,0,"clearpath/welcome-to-the-jungle-jobs-api",28.4286,"ok"
"redfin","real estate",88,8,308,54,0.1753,0.0041,4.9974,"tri_angle/redfin-search",28.2222,"ok"
"tesco","ecommerce",23,1,67,12,0.1791,0.0090,4.5204,"radeance/tesco-scraper",27.5000,"blocked 403"
"realtor","real estate",95,18,597,86,0.1441,0.0035,5.0000,"memo23/realtor-search-cheerio",26.8947,"blocked 429"
"zoopla","real estate",57,3,131,27,0.2061,0.6046,4.8458,"tri_angle/fast-zoopla-properties-scraper",26,"blocked 403"
"ziprecruiter","jobs",43,6,341,165,0.4839,0.0301,0,"crawlerbros/ziprecruiter-scraper-pro",25.1429,"challenge (challenge-platform)"
"remoteok","jobs",76,6,232,61,0.2629,0,0,"inlifeprojects/remoteok-jobs-scraper",24.4286,"ok"
"reed","jobs",49,6,241,72,0.2988,0,0,"scrapersdelight/reed-jobs-scraper",24.1429,"ok"
"domain.com.au","real estate",35,4,140,21,0.1500,0,0,"memo23/domain-com-au-scraper",23.8000,"blocked 403"
"home depot","ecommerce",29,5,180,39,0.2167,0.1837,0,"crawlerbros/homedepot-scraper",23.5000,"ok"
"foundit","jobs",23,8,405,195,0.4815,0,5,"themineworks/foundit-jobs-scraper",23.3333,"blocked 403"
"himalayas","jobs",40,2,189,120,0.6349,0,0,"inlifeprojects/himalayas-jobs-scraper",23,"blocked 403"
"seloger","real estate",40,3,144,53,0.3681,0,5.0000,"azzouzana/seloger-mass-products-scraper-by-search-url",22.7500,"blocked 403"
"infojobs","jobs",45,6,214,58,0.2710,0.0023,5,"easyapi/infojobs-job-scraper",22.2857,"ok"
"funda","real estate",43,3,123,35,0.2846,0.0627,5,"memo23/funda-scraper",22,"challenge (captcha)"
"smartrecruiters","jobs",47,1,55,11,0.2000,0,0,"jobo.world/smartrecruiters-jobs-scraper-api",22,"challenge (challenge-platform)"
"rakuten","ecommerce",35,1,55,12,0.2182,0.0043,0,"piotrv1001/rakuten-japan-listings-scraper",21.5000,"ok"
"arbeitsagentur","jobs",31,5,177,50,0.2825,0.0010,5,"lexis-solutions/bundesagentur-fur-arbeit-arbeitsagentur-scraper",21.1667,"ok"
"apartments.com","real estate",35,4,136,31,0.2279,0,0,"one-api/apartments-property-scraper",21,"blocked 403"
"simplyhired","jobs",26,2,97,34,0.3505,0.0062,5,"shahidirfan/Simplyhired-Job-Scraper",21,"blocked 403"
"jobsdb","jobs",28,3,109,28,0.2569,0.0003,5,"blackfalcondata/jobsdb-scraper",20.2500,"blocked 403"
"magicbricks","real estate",22,1,70,30,0.4286,0,0,"thirdwatch/magicbricks-scraper",20,"ok"
